"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not","YOUTH","english_ablitity_speak","english_ablitity_reading","Gender","Background_Asian"
"1",0,0,1,1,0,"I will not vote this year",NA,NA,NA,1935,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"2",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(2) No",1965,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"3",0,0,0,1,0,"I will not vote this year","Somewhat often","Very Interested","(1) Yes",1976,2001,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"4",0,0,1,1,1,"I am pretty likely to vote","Somewhat often","Not at all Interested","(2) No",1966,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"5",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1948,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(2) Just a little","Male","Cambodian"
"6",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1948,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Cambodian"
"7",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1943,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Cambodian"
"8",1,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1942,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Male","Cambodian"
"9",0,0,0,1,0,"I will not vote this year","Not at all","Not at all Interested","(1) Yes",1942,1988,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Cambodian"
"10",0,0,0,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1953,2003,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"11",1,1,0,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1965,1995,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth","(1) Not at all","(1) Not at all","Male","Cambodian"
"12",1,0,0,1,1,"I will not vote this year","Somewhat often","Very Interested","(2) No",1949,1986,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
