"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not"
"1",0,0,1,0,0,"I will not vote this year",NA,NA,NA,1935,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"2",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1965,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"3",0,0,0,0,0,"I will not vote this year","Somewhat often","(4) Very interested","(1) Yes",1976,2001,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"4",0,0,1,0,0,"I am pretty likely to vote","Somewhat often","(1) Not at all interested","(2) No",1966,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"5",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1948,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"6",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1948,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"7",0,0,1,0,NA,NA,"Not too often","(1) Not at all interested","(2) No",1965,1985,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"8",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1943,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"9",1,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1942,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"10",0,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(1) Yes",1942,1988,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"11",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1953,2003,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"12",0,0,1,0,NA,NA,"Not at all","(3) Interested","(1) Yes",1961,1981,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"13",1,1,0,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1965,1995,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"14",1,0,0,0,0,"I will not vote this year","Somewhat often","(4) Very interested","(2) No",1949,1986,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"15",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1966,1988,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"16",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(3) Interested","(2) No",1945,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"17",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(2) No",1930,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"18",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1946,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"19",1,0,0,0,0,"My chances of voting are less than 50-50","Not too often","(2) Somewhat interested","(1) Yes",1971,1990,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"20",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(2) No",1971,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"21",0,1,1,0,0,"I will not vote this year","Not too often","(4) Very interested","(1) Yes",1983,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"22",1,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1957,1979,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"23",0,0,0,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1957,2003,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"24",1,0,0,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1949,1988,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"25",0,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1957,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"26",1,0,1,0,0,"My chances of voting are 50-50","Not at all","(1) Not at all interested","(2) No",1942,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"27",1,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1960,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"28",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1938,1974,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"29",0,0,1,0,0,"I will not vote this year","Not too often","(2) Somewhat interested","(1) Yes",1953,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"30",1,0,0,0,0,"I will not vote this year","Not too often","(2) Somewhat interested","(2) No",1953,1986,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"31",0,0,1,0,0,"I am pretty likely to vote","Not too often","(2) Somewhat interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"32",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1941,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"33",0,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1992,1992,"(13) chinese","(1) Citizen","Not Registered","Foreign Born Citizen"
"34",1,1,0,0,0,"I am absolutely certain I will vote","Not at all","(4) Very interested","(1) Yes",1977,1991,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"35",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1948,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"36",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1957,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"37",0,0,0,0,0,"I will not vote this year","Not too often","(3) Interested","(2) No",1973,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
